,Name,City,Rating,Rating Count,Telephone,Cuisine,Cost for two,Address,Famous Food,updated_url
16338,The Black Pearl,Bengaluru,4.5,12686.0,080 49652452,"North Indian, European, Mediterranean",1500.0,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","Mocktails , Mutton Dum Biryani , Cocktails , Fish , Sea Food , Paan Ice Cream , Bbq Chicken",https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block
8673,Taaza Thindi,Bengaluru,4.5,4376.0,+91 8040912277,South Indian,100.0,"1004, 26th Main, Next to HDFC Bank, 4th T Block, Jayanagar, Bangalore","Masala Dosa , Idli , Vada , Kesari Bath , Filtered Coffee , Healthy Breakfast , Kharabath",https://www.zomato.com/bangalore/taaza-thindi-jayanagar
7999,Byg Brewski Brewing Company,Bengaluru,4.5,19305.0,080 47090976 080 46809796,"Continental, North Indian, Italian, South Indian, Finger Food, Pizza",1600.0,"Behind MK Retail, Sarjapur Road, Bangalore","Cocktails , Pizza , Nachos , Craft Beer , Cold Press Juice , Dahi Kebab , Mocktails",https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore
9361,Barbecue by Punjab Grill,Bengaluru,4.5,1962.0,+91 9821250857 +91 8130594656,"North Indian, BBQ, Desserts",1200.0,"Unit T-1, 3rd Floor, Mantri Square Mall, Sampige Road, Malleshwaram, Bangalore","Chaat , Paan Ice Cream , Crispy Corn , Fish , Biryani , Brownie , Chilli Ice Cream",https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore
16037,AB's - Absolute Barbecues,Bengaluru,4.5,7363.0,+91 7337336714 040 45659912,"European, Mediterranean, North Indian, BBQ",1600.0,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore","Paan Ice Cream , Fish , Sea Food , Crispy Corn , Biryani , Prawn , Tangdi Chicken",https://www.zomato.com/bangalore/abs-absolute-barbecues-btm
8838,Milano Ice Cream,Bengaluru,4.5,2370.0,080 41256483 +91 8281464593,"Ice Cream, Desserts",400.0,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore","Truffle , Tiramisu , Apple Pie , Carrot Cake , Gelato Ice Cream , Vanilla Gelato , Ice Cream Sandwich",https://www.zomato.com/bangalore/milano-ice-cream-indiranagar
8110,TBC Sky Lounge,Bengaluru,4.5,10845.0,080 7259540555 +91 7338649944,"Continental, Asian, Italian, North Indian",1600.0,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore","Peri Peri Chicken , Cocktails , Pasta , Nachos , Mocktails , Beer , Murgh Ghee Roast",https://www.zomato.com/bangalore/tbc-sky-lounge-hsr
16066,Byg Brewski Brewing Company,Bengaluru,4.5,8259.0,+91 7618755494 +91 7618755487,"Finger Food, Fast Food, North Indian, Italian",1600.0,"22/123, Byrathi Village, Bidarahalli Hobli, Hennur, Bangalore","Cocktails , Pizza , Nachos , Mocktails , Pasta , Craft Beer , Veg Starter",https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore
8548,Asia Kitchen By Mainland China,Bengaluru,4.5,2993.0,080 25504446 +91 9343880778,"Asian, Chinese, Thai, Momos",1700.0,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore","Noodle , Sushi , Pan Fried Noodles , Fish , Dumplings , Cocktails , Prawn",https://www.zomato.com/bangalore/asia-kitchen-by-mainland-china-koramangala-5th-block
18930,Mainland China,Bengaluru,4.5,2229.0,080 49652995,"Chinese, Asian, Sushi, Japanese, Thai",1700.0,"28/2, 1st Floor, Siddapura, Whitefield Main Road, Whitefield, Bangalore","Noodle , Dumplings , Fish , Tai Pai Chicken , Momos , Braised Lamb , Jumbo Prawns",https://www.zomato.com/bangalore/mainland-china-whitefield
16205,AB's - Absolute Barbecues,Bengaluru,4.5,1098.0,080 47483801,"European, Mediterranean, North Indian, BBQ",1600.0,"Survey 32, 2nd Floor, Ambedkar Colony, Allalasandra Village, BB Road, Yelahanka, Bangalore","Paan Ice Cream , Fish , Sea Food , Prawn , Crispy Corn , Mutton Curry , Biryani",https://www.zomato.com/bangalore/abs-absolute-barbecues-yelahanka-bangalore
8066,Communiti,Bengaluru,4.5,5264.0,080 40999755 +91 9342158585,"Continental, BBQ",1500.0,"67 & 68, Brigade Solitaire, Opposite To Advaith Hyundai, Residency Road, Bangalore","Beer , Pizza , Nachos , Peri Peri Chicken , Pasta , Cocktails , Burgers",https://www.zomato.com/bangalore/communiti-residency-road
8116,Stories - The Brew Chapter,Bengaluru,4.5,790.0,080 46809326,"Bar Food, Continental, Chinese, Italian",2000.0,"348/1/2, Survey 62, 29th Main, 2nd Stage, Lake Road, BTM, Bangalore","Cocktails , Pizza , Apple Cider , Dal Makhani , Wheat Beer , Peri Peri Chicken Wings , Spaghetti",https://www.zomato.com/bangalore/stories-the-brew-chapter-btm-bangalore
8226,The Globe Grub,Bengaluru,4.5,5306.0,080 49652558,"Continental, North Indian, Asian, Italian",1300.0,"2nd Floor, Soul Space Paradigm, Above Bata Showroom, Outer Ring Road, Marathahalli, Bangalore","Fish , Pizza , Gulab Jamun , Biryani , Prawn , Butter Chicken , Chicken Wings",https://www.zomato.com/bangalore/the-globe-grub-marathahalli
