,Name,City,Rating,Rating Count,Telephone,Cuisine,Cost for two,Address,Famous Food,updated_url
167,Dragonfly Experience,Delhi NCR,4.5,399.0,+91 7303759996 +91 7303759995,"Finger Food, European, Asian",4000.0,"Worldmark 1, Aerocity, New Delhi","Cocktails , Sushi , Salad , Hot Chocolate , Dumplings , Mocktails , Cheesecake",https://www.zomato.com/ncr/dragonfly-experience-aerocity-new-delhi
3059,Feel Alive,Delhi NCR,4.5,2151.0,011 61495167,"North Indian, Fast Food, Italian, Asian, Continental, Bar Food",1200.0,"SCO 53, 2nd Floor, Main Market, Sector 29, Gurgaon","Pizza , Cocktails , Mocktails , Paneer Tikka , Wheat Beer , Pasta , Fish",https://www.zomato.com/ncr/feel-alive-sector-29-gurgaon
31638,The Yellow Chilli,Delhi NCR,4.5,4196.0,+91 9910934269 +91 9540300693,"North Indian, Mughlai",1200.0,"S-6, Pacific Mall, Kaushambi, Sahibabad,","Paneer Taka Tak , Dal Makhani , Butter Chicken , Lala Mussa Dal , Biryani , Paneer Tikka , Malai Kofta",https://www.zomato.com/ncr/the-yellow-chilli-sahibabad-ghaziabad
91,Plum By Bent Chair,Delhi NCR,4.5,1643.0,011 61495178,Asian,3000.0,"The Walk, Worldmark 2, Aerocity, New Delhi","Cocktails , Sushi , Noodle , Pizza , Hot Chocolate , Mocktails , Prawn Dim Sums",https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi
8858,Doodle's Garden,Delhi NCR,4.5,179.0,011 66103818,"North Indian, Continental",1800.0,"Plot 1, 2nd Floor, NWA Club Road, Punjabi Bagh, New Delhi","Mocktails , Cocktails , Dal Makhani , Dragon Chicken , Mixed Sauce Pasta , Butter Chicken , Tandoori Chicken",https://www.zomato.com/ncr/doodles-garden-punjabi-bagh-new-delhi
2113,Lazeez Affaire,Delhi NCR,4.5,1731.0,+91 9899330055 +91 9811751027,"North Indian, Mughlai",2000.0,"6/48, Malcha Marg Market, Chanakyapuri, New Delhi","Butter Chicken , Dal Makhani , Biryani , Paneer Tikka , Paneer Lababdar , Chicken Tikka , Phirni",https://www.zomato.com/ncr/lazeez-affaire-chanakyapuri-new-delhi
29176,Chili's Grill & Bar,Delhi NCR,4.5,3131.0,+91 9711115114,"Italian, Finger Food",1200.0,"Pacific Mall, S 8 & 9, 2nd Floor, Tagore Garden, New Delhi","Pasta , Burgers , Nachos , Pizza , Salad , Rice Bowl , Fajita",https://www.zomato.com/ncr/chilis-grill-bar-tagore-garden-new-delhi
937,Chili's Grill & Bar,Delhi NCR,4.5,6426.0,011 40870532 011 40870533,"Italian, Finger Food",1200.0,"3rd Floor, Ambience Mall, Nelson Madela Road, Vasant Kunj, New Delhi","Burgers , Nachos , Pasta , Pizza , Cocktails , Fajita , Salad",https://www.zomato.com/ncr/chilis-grill-bar-vasant-kunj-new-delhi
2455,Vapour Bar Exchange,Delhi NCR,4.5,1045.0,+91 9599008185 +91 9582555614,"Continental, Italian, American, North Indian",1600.0,"Global Foyer Mall, Golf Course Road, Gurgaon","Wheat Beer , Cocktails , Dal Makhani , Murgh Makhani , Jerk Chicken Pizza , Chicken 65 , Spicy Fish",https://www.zomato.com/ncr/vapour-bar-exchange-golf-course-road-gurgaon
3128,Walking Street,Delhi NCR,4.5,160.0,011 66992291,"Bar Food, Asian, North Indian, Continental",1500.0,"SCO 20, Main Market, Sector 29, Gurgaon","Beer , Cocktails , Pizza , Chole , Butter Chicken , Mezze Platter , Mocktails",https://www.zomato.com/ncr/walking-street-sector-29-gurgaon
30235,La Roca,Delhi NCR,4.5,323.0,011 61495190,"Italian, Asian, Continental, Japanese, European, Modern Indian",2300.0,"6, Lower Ground Floor, Worldmark 1, Near Indira Gandhi International Airport, Aerocity, New Delhi","Cocktails , Sushi , Paneer Shashlik , Spaghetti , Ravioli , Risotto , Long Island Iced Tea",https://www.zomato.com/ncr/la-roca-aerocity-new-delhi
