,Name,City,Rating,Rating Count,Telephone,Cuisine,Cost for two,Address,Famous Food,updated_url
7146,Kolkata Restro,Kolkata,4.5,136.0,+91 8336937781,"North Indian, Chinese",500.0,"P 108/2, Block C, Bangur Avenue, VIP Service Road, Lake Town, Kolkata","Prawn , Chilli Prawns , Masala Kulcha , Lamb Chilli , Panneer Butter Masala , Aam Panna , Chicken Drumstick",https://www.zomato.com/kolkata/kolkata-restro-lake-town
2241,The Saffron Tree,Kolkata,4.5,1671.0,+91 9153787978 +91 9836106768,"Mughlai, Continental, Biryani",1000.0,"100, Raja Basanta Roy Road, Southern Avenue, Kolkata","Biryani , Mocktails , Cocktails , Fish , Haleem , Phirni , Roti",https://www.zomato.com/kolkata/the-saffron-tree-southern-avenue
5576,The Cake Story (by Ocean Grill),Kolkata,4.5,231.0,+91 8335068222 +91 8777283179,Bakery,500.0,"1st Floor, Infinity Benchmark, Near RDB Cinemas, Block GP, Sector 5, Salt Lake","Carrot Cake , Chocolate Truffle Cake , Profiterole , Kitkat Cake , Cheesy Garlic Bread , Cupcake , Chocolate Ganache",https://www.zomato.com/kolkata/the-cake-story-by-ocean-grill-sector-5-salt-lake
8014,Barbeque Nation,Kolkata,4.5,370.0,033 64806060,"North Indian, Chinese, Kebab, BBQ",1800.0,"Second Floor, City Center Mall 2, Block C, Rajarhat, New Town, Kolkata","Kulfi , Biryani , Pasta , Gulab Jamun , Prawn , Chicken Kebab , Puchka",https://www.zomato.com/kolkata/barbeque-nation-new-town
2761,Urban Masala,Kolkata,4.5,144.0,+91 8961333314 +91 7278709595,"North Indian, Chinese, Pizza",600.0,"882, Lake Town Road, Near Jaya Cinema, Lake Town, Kolkata","Paan Kulfi , Vegetable Biryani , Tandoori Platter , Masala Kulcha , Panneer Butter Masala , Mushroom Masala , Veg Augratin",https://www.zomato.com/kolkata/urban-masala-lake-town
2253,Naturals Ice Cream,Kolkata,4.5,2235.0,033 46018960,Ice Cream,200.0,"Ground Floor, 77/1/A, Park Street, Near West Bengal Board, Park Street Area, Kolkata","Coffee Walnut , Choco Almond , Tender Coconut Ice Cream , Waffle Cone , Roasted Almond Ice Cream , Kesar Pista , Waffles",https://www.zomato.com/kolkata/naturals-ice-cream-park-street-area
2849,Kopai,Kolkata,4.5,525.0,033 46010500 +91 9831163244,Bengali,400.0,"213, Sarat Bose Road, Near Post Office, Southern Avenue, Kolkata","Fish , Luchi , Daab Chingri , Bhetki Paturi , Mutton Kosha , Vetki Paturi , Mutton Curry",https://www.zomato.com/kolkata/kopai-southern-avenue
2999,Mugs & Shots,Kolkata,4.5,97.0,+91 8697293804,"Finger Food, Fast Food",1000.0,"5A, Sudder Street, New Market Area, Kolkata","Burgers , Mocktails , Hot Chocolate , Salad , Veg Pulao , Beer , Pesto Pasta",https://www.zomato.com/kolkata/mugs-shots-new-market-area
2904,Chennai Square,Kolkata,4.5,255.0,+91 9331428157,"South Indian, Continental",500.0,"4th Floor, 177 & 178, Broadway Mall Carnival Cinemas & Big Bazaar Building, Block IB, Sector 3, Salt Lake, Kolkata","Cheese Burst Dosa , Pav Bhaji Dosa , Pizza , Uttapam , Detox Water , Mojito , French Fries",https://www.zomato.com/kolkata/chennai-square-sector-3-salt-lake
3704,Girish Chandra Dey & Nakur Chandra Nandy,Kolkata,4.5,1453.0,+91 9432494423 033 22410048,Mishti,100.0,"56, Ramdulal Sarkar Street, Hedua Park, Hatibagan, Kolkata","Chocolate Sandesh , Mango Sandesh , Butterscotch Sondesh , Malai Roll , Nolen Gur , Chocolate Ball , Nolen Gurer Sandesh",https://www.zomato.com/kolkata/girish-chandra-dey-nakur-chandra-nandy-hatibagan
