,Name,City,Rating,Rating Count,Telephone,Cuisine,Cost for two,Address,Famous Food,updated_url
2585,Hitchki,Mumbai,4.5,3962.0,022 62483939 +91 8291932807,"Modern Indian, North Indian, Chinese, Momos, Continental, American, Fast Food",1600.0,"002, First International Financial Centre, G Block, Bandra Kurla Complex, Mumbai","Cocktails , Mocktails , Nachos , Naan , Biryani , Wings , Pasta",https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex
4987,Rocky Star Cocktail Bar,Mumbai,4.5,632.0,022 33951538,"European, Mediterranean",2600.0,"Third Floor, Trade View Building, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai","Cocktails , Pizza , Hazelnut Mousse , Chicken Nachos , Pasta , Butter Cookies , Mocktails",https://www.zomato.com/mumbai/rocky-star-cocktail-bar-lower-parel
4923,ARK 2.0 - Courtyard By Marriott,Mumbai,4.5,250.0,022 68493632,"Finger Food, North Indian, European, Asian, Continental",2500.0,"Courtyard By Marriott, Andheri Kurla Road, Andheri East, Near Mumbai International Airport, Chakala, Mumbai","Cocktails , Thai Green Curry , Mocktails , Keema Pav , Tandoori Mushrooms , Sea Food , Pav Bhaji",https://www.zomato.com/mumbai/ark-2-0-courtyard-by-marriott-chakala
8495,Jumjoji - The Parsi Diner,Mumbai,4.5,294.0,022 61876818,Parsi,2100.0,"The Orb, 1st Floor, Unit 11 A & B, IA Project Road, Navpada, Chhatrapati Shivaji International Airport, Chakala, Mumbai","Gulab Jamun , Rabri , Custard , Mocktails , Berry Pulao , Patra Ni Machhi , Fish",https://www.zomato.com/mumbai/jumjoji-the-parsi-diner-chakala
4893,The Cheaters,Mumbai,4.5,116.0,+91 7021262567 +91 8082252842,"American, Mexican, Continental, Steak, Burger, Desserts, Beverages",1800.0,"Ground Floor, The ORB, Next To J.W. Marriott Hotel, Chakala, Mumbai","Burgers , Mocktails , Caesar Salad , Mexican Bean Burger , Tiramisu , Cheesecake , Nachos",https://www.zomato.com/mumbai/the-cheaters-2-chakala
2706,Yazu - Pan Asian Supper Club,Mumbai,4.5,601.0,022 68493621,"Thai, Korean, Japanese, Chinese",1700.0,"9, Ground Floor, Raheja Classic Complex, Next To Infinity Mall, Phase D, Lokhandwala, Shastri Nagar, Oshiwara, Andheri West, Mumbai","Sushi , Cocktails , Dumplings , Chocolate Souffle , Noodle , Mocktails , Hot Chocolate",https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara
3838,White Charcoal - The Empresa Hotel,Mumbai,4.5,661.0,022 45424245 +91 9137528772,"Modern Indian, North Indian, Desserts",2800.0,"The Empresa Hotel, Oberoi Complex, Off New Link Road, Andheri Lokhandwala, Andheri West","Chur Chur Naan , Salad , Biryani , Mocktails , Raita , Tiramisu , Dum Aloo",https://www.zomato.com/mumbai/white-charcoal-the-empresa-hotel-1-andheri-lokhandwala
25157,Dragonfly Experience,Mumbai,4.5,198.0,022 50646804,"Asian, European",2000.0,"The Orb, IA Project Road, Chhatrapati Shivaji International Airport, Marol, Mumbai","Cocktails , Sushi , Mocktails , Ebi Tempura , Cheesecake , Pasta , Noodle",https://www.zomato.com/mumbai/dragonfly-experience-chakala
23391,Bayroute,Mumbai,4.5,1109.0,022 25705136 +91 8657448949,"Egyptian, Turkish, Lebanese, Moroccan, Greek",3000.0,"1, Ground Floor, Transocean House, Lake Blve Road, Hiranandani Business Park, Powai, Mumbai","Baklava , Cocktails , Pita Bread , Salad , Chocolate Fondant , Mocktails , Salted Caramel Ice Cream",https://www.zomato.com/mumbai/bayroute-powai
2565,Bayroute,Mumbai,4.5,756.0,022 68378600 +91 8657554931,"Egyptian, Turkish, Lebanese, Moroccan, Greek",3000.0,"14, Silver Beach Estate, A.B. Nair Road, Opposite Juhu Post Office, Juhu, Mumbai","Baklava , Cocktails , Pita Bread , Chocolate Fondant , Mocktails , Cheesecake , Lamb",https://www.zomato.com/mumbai/bayroute-juhu
