,Name,City,Rating,Rating Count,Telephone,Cuisine,Cost for two,Address,Famous Food,updated_url
3935,Santè Spa Cuisine,Pune,4.5,1271.0,+91 8237902020 +91 9325532934,"Salad, Continental, Healthy Food, Mediterranean, Pizza",1300.0,"Mint Koregaon Park, #11, Lane 1, Near Osho International Resort And Commune, Koregaon Park, Pune","Salad , Farm Pizza , Healthy Veg Food , Coffee , Pasta , Smoothie Bowl , Spinach Hummus",https://www.zomato.com/pune/santè-spa-cuisine-koregaon-park
11777,Agent Jack's,Pune,4.5,4035.0,080 46971984,"Finger Food, Continental, North Indian, Italian, Asian, Desserts",1500.0,"West Block, Amanora Town Centre, Hadapsar Kharadi Bypass, Hadapsar, Pune","Beer , Nachos , Cocktails , Crispy Corn , Chicken Popcorn , Chicken Tikka Pizza , Chilli Chicken",https://www.zomato.com/pune/agent-jacks-hadapsar
3730,Level 5 Bistro and Bar,Pune,4.5,338.0,+91 7030933061,"European, Italian, American",1200.0,"Survey 1365, 5th Floor, House of Nosh, Above Kalinga Veg Gourmet Kitchen, Opposite Mehendale Garage, Gulawani Maharaj Path, Erandwane, Pune","Pizza , Salad , Cocktails , Burgers , Mushroom Soup , Sea Food , Chocolate Bomb",https://www.zomato.com/pune/level-5-bistro-and-bar-erandwane
5763,Zeta - Hyatt Regency Pune,Pune,4.5,163.0,020 71971397,"European, Continental, Healthy Food, Italian, Salad, Beverages",1500.0,"Hyatt Regency, Weikfield IT Park, Nagar Road, Viman Nagar, Pune","Salad , Tiramisu , Burgers , Chocolate Mousse , Ravioli , Cauliflower Soup , Bannoffee Pie",https://www.zomato.com/pune/zeta-hyatt-regency-pune-viman-nagar
3451,AB's - Absolute Barbecues,Pune,4.5,6212.0,+91 9373112211,"Continental, North Indian, Chinese",1400.0,"Shop 206, 2nd Floor, White Square Building, Opposite Atlanta Complex, Hinjawadi, Pune","Paan Ice Cream , Fish , Sea Food , Crispy Corn , Mocktails , Gulab Jamun , Biryani",https://www.zomato.com/pune/abs-absolute-barbecues-hinjawadi
4024,Cafe Paashh,Pune,4.5,224.0,020 71966745,"Cafe, European, Healthy Food, Modern Indian",1500.0,"Plot E1, E2, Hiremath Park, Next to Orange Ivy School, Kalyani Nagar, Pune","Cheesecake , Watermelon Cooler , Falafel , Gol Gappe , Soba Noodles , Guava Ice Cream , Potato Chat",https://www.zomato.com/pune/cafe-paashh-kalyani-nagar
11822,Baobab,Pune,4.5,210.0,080 46972061,"North Indian, Italian, Asian",1200.0,"Unit 6, The Mills, Rajabahadur City Centre, Sangamwadi, Bund Garden Road, Pune","Butter Beer , Cheesecake , Mocktails , Bbq Chicken Pizza , Cocktails , Chana Daal , Red Thai Curry",https://www.zomato.com/pune/baobab-bund-garden
5904,Le Flamington,Pune,4.5,538.0,020 26613355 +91 8007503355,"Bakery, European",1200.0,"Plot 88, Survey 2016, East Avenue, Kalyani Nagar, Pune","Coffee , Sandwich , Hot Chocolate , Cappuccino , Croissant , Marshmallow , Chocolate Mousse",https://www.zomato.com/pune/le-flamington-kalyani-nagar
3962,Onesta,Pune,4.5,3108.0,+91 9071778856 +91 9071778861,"Pizza, Italian, Fast Food, Desserts",700.0,"Survey 15, Mariplex Shopping Mall, Vadgaonsheri, Kalyani Nagar, Pune","Pasta , Tiramisu , Ricotta Ravioli , Mocktails , Farmhouse Pizza , Chocolate Pizza , Paneer Tikka Pizza",https://www.zomato.com/pune/onesta-kalyani-nagar
13205,LKD | La Kheer Deli,Pune,4.5,728.0,+91 9766777854 +91 9970710036,Desserts,200.0,"LKD, outside Starbucks, ITI road, Aundh, Pune-07.","Rice Pudding , Nutella Oreo , Rice Kheer , Coffee , Walnut Brownie",https://www.zomato.com/la-kheer-deli-food-truck
6503,Drink Your Selfie,Pune,4.5,165.0,+91 7506272119,"Beverages, Desserts",300.0,"Shop 1, Kavita Apartment, Datta Mandir Chowk, Opposite HDFC Bank, Viman Nagar, Pune","Paan Shake , Mocktails , Meetha Paan , Popcorn , Thick Shakes , Gulab Jamun , Vanilla Ice Cream",https://www.zomato.com/pune/drink-your-selfie-viman-nagar
11694,The FML Lounge,Pune,4.5,2710.0,080 46971957,"North Indian, Mughlai, Chinese",1500.0,"Mulik Capital, Next to Mulik Lawns, Kalyani Nagar, Pune","Pizza , Nachos , Beer , Cocktails , Pasta , Mocktails , Chicken Popcorn",https://www.zomato.com/pune/the-fml-lounge-kalyani-nagar
3665,Kayani Bakery,Pune,4.5,2198.0,020 26360517,Bakery,150.0,"6, Dr Coyage Road, Hulshur, Camp, East Street, Pune","Mawa Cake , Mava Cake , Chocolate Walnut Cake , Chocolate Chip Cookie , Shrewsberry Biscuit , Fruit Cake , Plum Cake",https://www.zomato.com/pune/kayani-bakery-east-street
11685,Darshan,Pune,4.5,3851.0,+91 7770018500 020 25673671,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",700.0,"759/60, Opposite Indian Bank, Prabhat Road, Deccan Gymkhana, Pune","Pasta , Chana Bhatura , Chole Bhature , Brownie , Sandwich , Nachos , Baked Beans",https://www.zomato.com/pune/darshan-deccan-gymkhana
11961,Pop Tate's,Pune,4.5,1373.0,+91 7045004406 020 48616266,"Continental, Italian, Chinese",1400.0,"Shop T08, 3rd Floor, Phoenix Market City Mall, Viman Nagar, Pune","Butter Chicken , Cocktails , Beer , Mocktails , Chicken Pops , Onion Rings , Bbq Chicken Pizza",https://www.zomato.com/pune/pop-tates-viman-nagar
3723,Gong,Pune,4.5,1512.0,+91 8806577377 +91 9370579604,"Asian, Thai, Sushi",1700.0,"Shop 22/23, Balewadi High Street, Cummins India Office Campus, Baner- Balewadi Link Road, Baner, Pune","Sushi , Dumplings , Chocolate Dome , Cocktails , Ramen , Khao Suey , Pad Thai",https://www.zomato.com/pune/gong-baner
11670,Barbeque Nation,Pune,4.5,2376.0,18001086060,"North Indian, Mughlai, Salad, Kebab, BBQ",1700.0,"Ground Floor, East Block, Amanora Town Center, Hadapsar Kharadi Bypass, Hadapsar, Pune","Fish , Paan Kulfi , Gulab Jamun , Crispy Corn , Biryani , Firni , Brownie",https://www.zomato.com/pune/barbeque-nation-hadapsar
4323,Asia Kitchen By Mainland China,Pune,4.5,485.0,+91 9370579601 +91 9325523331,"Asian, Chinese",1200.0,"City Point, Ground Floor, Dhole Patil Road, Pune","Sushi , Dumplings , Mango Pudding , Cocktails , Noodle , Fish , Burnt Garlic Rice",https://www.zomato.com/pune/asia-kitchen-by-mainland-china-dhole-patil-road
